,3_w,Economy,Runs,Wickets
CR Brathwaite,1.0,8.2,246.0,8.0
JEC Franklin,0.0,8.64,216.0,9.0
D Salunkhe,0.0,8.75,70.0,1.0
Shivam Sharma,0.0,7.56,121.0,3.0
S Kaushik,1.0,8.31,291.0,6.0
DNT Zoysa,0.0,8.73,96.0,2.0
SB Bangar,0.0,8.48,212.0,4.0
Shahid Afridi,1.0,7.33,220.0,9.0
AA Chavan,0.0,7.57,318.0,8.0
BCJ Cutting,0.0,8.21,230.0,7.0
TS Mills,0.0,8.0,144.0,5.0
AM Salvi,0.0,7.31,190.0,7.0
AL Menaria,0.0,7.78,140.0,3.0
Parvez Rasool,0.0,8.12,268.0,4.0
S Gopal,0.0,8.05,153.0,7.0
DJ Hooda,0.0,7.82,258.0,6.0
WA Mota,0.0,7.83,94.0,4.0
JE Taylor,1.0,7.6,152.0,6.0
JD Ryder,0.0,7.42,297.0,8.0
ND Doshi,0.0,8.67,78.0,2.0
JO Holder,0.0,7.74,294.0,5.0
SN Thakur,3.0,7.84,337.0,12.0
R Shukla,0.0,9.43,198.0,5.0
KP Appanna,1.0,7.51,278.0,9.0
AS Rajpoot,1.0,7.53,226.0,8.0
RJ Peterson,1.0,8.75,70.0,3.0
A Choudhary,0.0,7.61,137.0,5.0
SB Styris,1.0,7.3,270.0,8.0
K Goel,0.0,8.36,92.0,0.0
AF Milne,0.0,8.74,166.0,4.0
RR Raje,0.0,8.33,200.0,6.0
K Rabada,0.0,7.91,174.0,6.0
K Upadhyay,0.0,8.78,79.0,0.0
P Sahu,0.0,8.47,144.0,3.0
SM Boland,0.0,7.57,53.0,2.0
M de Lange,1.0,8.26,157.0,5.0
CJ Jordan,2.0,8.03,249.0,12.0
RV Gomez,0.0,8.0,128.0,5.0
DP Vijaykumar,0.0,7.38,192.0,4.0
P Suyal,0.0,8.24,140.0,2.0
S Rana,0.0,9.0,18.0,0.0
PM Sarvesh Kumar,0.0,8.2,41.0,1.0
CJ McKay,0.0,8.57,60.0,1.0
JM Kemp,1.0,7.29,51.0,3.0
AA Noffke,0.0,8.75,35.0,1.0
RD Chahar,0.0,7.71,54.0,2.0
Harmeet Singh (2),0.0,8.25,33.0,1.0
B Stanlake,0.0,8.5,68.0,2.0
SA Yadav,0.0,8.0,8.0,0.0
Shoaib Malik,0.0,8.56,77.0,2.0
RS Gavaskar,0.0,8.0,8.0,0.0
Sachin Baby,0.0,8.0,8.0,2.0
DAJ Bracewell,1.0,7.75,31.0,3.0
