,0,1,2,3,4,5,6,wickets
PV Tambe,15,3,0,0,1,0,0,0
S Kaushik,1,0,0,0,0,0,0,1
MF Maharoof,3,3,0,0,1,0,1,0
VVS Laxman,14,22,1,0,7,0,0,1
Shahid Afridi,1,1,0,0,0,0,0,1
SB Styris,1,2,0,0,0,0,0,1
SB Bangar,0,5,0,0,0,0,2,0
AS Yadav,1,3,0,0,0,0,0,0
HM Amla,4,4,0,0,0,0,1,2
Gurkeerat Singh,6,10,0,0,2,0,0,1
F Behardien,1,0,0,0,0,0,0,1
KJ Abbott,1,0,0,0,0,0,0,1
MM Sharma,9,10,0,0,3,0,0,3
KC Cariappa,1,6,0,0,0,0,1,0
A Mithun,0,2,0,0,1,0,0,0
MJ Guptill,5,3,1,0,1,0,0,1
OA Shah,8,8,1,0,5,0,5,1
A Nehra,1,0,0,0,0,0,0,0
V Shankar,7,8,0,0,2,0,1,1
S Chanderpaul,7,2,0,0,0,0,0,1
UBT Chand,17,12,1,0,8,0,2,1
ST Jayasuriya,18,12,1,0,4,0,4,1
NM Coulter-Nile,3,0,0,0,0,0,1,1
UT Yadav,1,2,0,0,0,0,0,0
AS Rajpoot,6,0,0,0,1,0,0,1
AB Agarkar,2,4,1,0,0,0,0,0
I Sharma,2,0,0,0,0,0,0,1
BAW Mendis,0,1,0,0,0,0,0,0
UT Khawaja,2,0,1,0,2,0,1,0
JEC Franklin,5,7,0,0,0,0,1,1
SL Malinga,8,7,0,0,1,0,1,1
RP Singh,0,1,0,0,0,0,0,0
